Penjualan;Periode
2851;1
2672;2
2755;3
2721;4
2946;5
3036;6
2282;7
2212;8
2922;9
4301;10
5764;11
7132;12
2541;13
2475;14
3031;15
3266;16
3776;17
3230;18
3028;19
1759;20
3595;21
4474;22
6838;23
8357;24
3113;25
3006;26
4047;27
3523;28
3937;29
3986;30
3260;31
1573;32
3528;33
5211;34
7614;35
9254;36
5375;37
3088;38
3718;39
4514;40
4520;41
4539;42
3663;43
1643;44
4739;45
5428;46
8314;47
10651;48
3633;49
4292;50
4154;51
4121;52
4647;53
4753;54
3965;55
1723;56
5048;57
6922;58
9858;59
11331;60
4016;61
3957;62
4510;63
4276;64
4968;65
4677;66
3523;67
1821;68
5222;69
6873;70
10803;71
13916;72
2639;73
2899;74
3370;75
3740;76
2927;77
3986;78
4217;79
1738;80
5221;81
6424;82
9842;83
13076;84
3934;85
3162;86
4286;87
4676;88
5010;89
4874;90
4633;91
1659;92
5951;93
6981;94
9851;95
12670;96
